hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-05-10T07:00:00Z,Globalstar,85,27,6.183333333333334,9
2024-05-10T07:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T07:00:00Z,Starlink,5920,1328,131.81666666666666,148
2024-05-10T07:00:00Z,OneWeb,634,137,23.266666666666666,27
2024-05-10T08:00:00Z,GPS,75,23,20.633333333333333,22
2024-05-10T08:00:00Z,GLONASS,143,48,36.516666666666666,40
2024-05-10T08:00:00Z,Galileo,27,9,7.966666666666667,8
2024-05-10T08:00:00Z,BeiDou,53,19,16.633333333333333,18
2024-05-10T08:00:00Z,NavIC,7,3,3.0,3
2024-05-10T08:00:00Z,QZSS,4,0,0.0,0
2024-05-10T08:00:00Z,Iridium,109,10,1.6,3
2024-05-10T08:00:00Z,Globalstar,85,32,6.983333333333333,12
2024-05-10T08:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T08:00:00Z,Starlink,5920,1331,130.43333333333334,141
2024-05-10T08:00:00Z,OneWeb,634,138,23.466666666666665,27
2024-05-10T09:00:00Z,GPS,75,25,21.3,22
2024-05-10T09:00:00Z,GLONASS,143,50,37.416666666666664,41
2024-05-10T09:00:00Z,Galileo,27,9,7.883333333333334,9
2024-05-10T09:00:00Z,BeiDou,53,19,14.933333333333334,16
2024-05-10T09:00:00Z,NavIC,7,3,3.0,3
2024-05-10T09:00:00Z,QZSS,4,0,0.0,0
2024-05-10T09:00:00Z,Iridium,109,23,2.716666666666667,7
2024-05-10T09:00:00Z,Globalstar,85,36,7.5,12
2024-05-10T09:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T09:00:00Z,Starlink,5920,1286,122.96666666666667,141
2024-05-10T09:00:00Z,OneWeb,634,140,23.15,25
2024-05-10T10:00:00Z,GPS,75,28,22.166666666666668,24
2024-05-10T10:00:00Z,GLONASS,143,44,34.2,37
2024-05-10T10:00:00Z,Galileo,27,9,8.633333333333333,9
2024-05-10T10:00:00Z,BeiDou,53,18,15.85,16
2024-05-10T10:00:00Z,NavIC,7,3,3.0,3
2024-05-10T10:00:00Z,QZSS,4,0,0.0,0
2024-05-10T10:00:00Z,Iridium,109,12,1.4833333333333334,4
2024-05-10T10:00:00Z,Globalstar,85,32,7.2,13
2024-05-10T10:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T10:00:00Z,Starlink,5920,1213,120.13333333333334,137
2024-05-10T10:00:00Z,OneWeb,634,135,21.85,26
2024-05-10T11:00:00Z,GPS,75,28,23.4,24
2024-05-10T11:00:00Z,GLONASS,143,41,34.88333333333333,37
2024-05-10T11:00:00Z,Galileo,27,9,7.166666666666667,8
2024-05-10T11:00:00Z,BeiDou,53,16,16.0,16
2024-05-10T11:00:00Z,NavIC,7,3,3.0,3
2024-05-10T11:00:00Z,QZSS,4,0,0.0,0
2024-05-10T11:00:00Z,Iridium,109,24,2.6166666666666667,7
2024-05-10T11:00:00Z,Globalstar,85,32,7.35,10
2024-05-10T11:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T11:00:00Z,Starlink,5920,1218,121.73333333333333,140
2024-05-10T11:00:00Z,OneWeb,634,130,21.066666666666666,26
2024-05-10T12:00:00Z,GPS,75,27,23.65,25
2024-05-10T12:00:00Z,GLONASS,142,40,38.483333333333334,39
2024-05-10T12:00:00Z,Galileo,27,7,5.866666666666666,6
2024-05-10T12:00:00Z,BeiDou,53,17,15.1,16
2024-05-10T12:00:00Z,NavIC,7,3,3.0,3
2024-05-10T12:00:00Z,QZSS,4,0,0.0,0
2024-05-10T12:00:00Z,Iridium,109,16,2.0166666666666666,5
2024-05-10T12:00:00Z,Globalstar,85,28,6.916666666666667,10
2024-05-10T12:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T12:00:00Z,Starlink,5920,1212,118.46666666666667,131
2024-05-10T12:00:00Z,OneWeb,634,132,21.066666666666666,26
2024-05-10T13:00:00Z,GPS,75,28,26.666666666666668,28
2024-05-10T13:00:00Z,GLONASS,142,48,37.916666666666664,42
2024-05-10T13:00:00Z,Galileo,27,6,5.833333333333333,6
2024-05-10T13:00:00Z,BeiDou,53,21,18.016666666666666,20
2024-05-10T13:00:00Z,NavIC,7,3,3.0,3
2024-05-10T13:00:00Z,QZSS,4,0,0.0,0
2024-05-10T13:00:00Z,Iridium,109,17,2.0,4
2024-05-10T13:00:00Z,Globalstar,85,32,6.116666666666666,9
2024-05-10T13:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T13:00:00Z,Starlink,5920,1264,119.88333333333334,140
2024-05-10T13:00:00Z,OneWeb,634,127,20.633333333333333,24
2024-05-10T14:00:00Z,GPS,75,35,29.033333333333335,32
2024-05-10T14:00:00Z,GLONASS,142,57,46.583333333333336,49
2024-05-10T14:00:00Z,Galileo,27,7,6.0,6
2024-05-10T14:00:00Z,BeiDou,53,21,18.2,20
2024-05-10T14:00:00Z,NavIC,7,3,3.0,3
2024-05-10T14:00:00Z,QZSS,4,0,0.0,0
2024-05-10T14:00:00Z,Iridium,109,12,1.5833333333333333,3
2024-05-10T14:00:00Z,Globalstar,85,33,6.833333333333333,10
2024-05-10T14:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T14:00:00Z,Starlink,5920,1265,122.48333333333333,136
2024-05-10T14:00:00Z,OneWeb,634,126,20.566666666666666,24
2024-05-10T15:00:00Z,GPS,75,32,27.666666666666668,30
2024-05-10T15:00:00Z,GLONASS,142,62,46.6,49
2024-05-10T15:00:00Z,Galileo,27,9,8.016666666666667,9
2024-05-10T15:00:00Z,BeiDou,53,18,16.55,17
2024-05-10T15:00:00Z,NavIC,7,3,3.0,3
2024-05-10T15:00:00Z,QZSS,4,0,0.0,0
2024-05-10T15:00:00Z,Iridium,109,21,2.3666666666666667,4
2024-05-10T15:00:00Z,Globalstar,85,29,5.816666666666666,9
2024-05-10T15:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T15:00:00Z,Starlink,5920,1336,132.56666666666666,154
2024-05-10T15:00:00Z,OneWeb,634,125,20.633333333333333,24
2024-05-10T16:00:00Z,GPS,75,30,26.983333333333334,28
2024-05-10T16:00:00Z,GLONASS,142,60,47.65,51
2024-05-10T16:00:00Z,Galileo,27,10,9.766666666666667,10
2024-05-10T16:00:00Z,BeiDou,53,17,16.116666666666667,17
2024-05-10T16:00:00Z,NavIC,7,3,3.0,3
2024-05-10T16:00:00Z,QZSS,4,0,0.0,0
2024-05-10T16:00:00Z,Iridium,109,14,1.7,3
2024-05-10T16:00:00Z,Globalstar,85,31,6.483333333333333,9
2024-05-10T16:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T16:00:00Z,Starlink,5920,1336,131.68333333333334,157
2024-05-10T16:00:00Z,OneWeb,634,127,19.95,24
2024-05-10T17:00:00Z,GPS,75,32,25.466666666666665,28
2024-05-10T17:00:00Z,GLONASS,142,52,43.65,51
2024-05-10T17:00:00Z,Galileo,27,11,8.066666666666666,9
2024-05-10T17:00:00Z,BeiDou,53,18,13.916666666666666,15
2024-05-10T17:00:00Z,NavIC,7,3,3.0,3
2024-05-10T17:00:00Z,QZSS,4,0,0.0,0
2024-05-10T17:00:00Z,Iridium,109,23,2.5833333333333335,5
2024-05-10T17:00:00Z,Globalstar,85,26,5.55,10
2024-05-10T17:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T17:00:00Z,Starlink,5917,1286,123.65,143
2024-05-10T17:00:00Z,OneWeb,634,129,21.25,25
2024-05-10T18:00:00Z,GPS,75,32,25.25,28
2024-05-10T18:00:00Z,GLONASS,142,42,28.95,36
2024-05-10T18:00:00Z,Galileo,27,11,9.55,11
2024-05-10T18:00:00Z,BeiDou,53,18,15.033333333333333,16
2024-05-10T18:00:00Z,NavIC,7,3,3.0,3
2024-05-10T18:00:00Z,QZSS,4,0,0.0,0
2024-05-10T18:00:00Z,Iridium,109,12,1.8333333333333333,3
2024-05-10T18:00:00Z,Globalstar,85,27,6.366666666666666,9
2024-05-10T18:00:00Z,Inmarsat,20,10,9.016666666666667,10
2024-05-10T18:00:00Z,Starlink,5917,1218,118.01666666666667,138
2024-05-10T18:00:00Z,OneWeb,634,124,20.6,24
2024-05-10T19:00:00Z,GPS,75,28,22.666666666666668,24
2024-05-10T19:00:00Z,GLONASS,142,33,30.516666666666666,31
2024-05-10T19:00:00Z,Galileo,27,10,7.833333333333333,9
2024-05-10T19:00:00Z,BeiDou,53,16,14.916666666666666,15
2024-05-10T19:00:00Z,NavIC,7,3,3.0,3
2024-05-10T19:00:00Z,QZSS,4,0,0.0,0
2024-05-10T19:00:00Z,Iridium,109,20,2.183333333333333,4
2024-05-10T19:00:00Z,Globalstar,85,26,5.533333333333333,9
2024-05-10T19:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T19:00:00Z,Starlink,5917,1207,117.73333333333333,128
2024-05-10T19:00:00Z,OneWeb,634,128,20.883333333333333,24
2024-05-10T20:00:00Z,GPS,75,24,22.15,24
2024-05-10T20:00:00Z,GLONASS,142,38,30.416666666666668,33
2024-05-10T20:00:00Z,Galileo,27,9,6.933333333333334,8
2024-05-10T20:00:00Z,BeiDou,53,16,14.9,15
2024-05-10T20:00:00Z,NavIC,7,3,3.0,3
2024-05-10T20:00:00Z,QZSS,4,0,0.0,0
2024-05-10T20:00:00Z,Iridium,109,13,1.9,5
2024-05-10T20:00:00Z,Globalstar,85,29,6.216666666666667,9
2024-05-10T20:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T20:00:00Z,Starlink,5917,1253,123.03333333333333,133
2024-05-10T20:00:00Z,OneWeb,634,125,20.433333333333334,23
2024-05-10T21:00:00Z,GPS,75,21,17.766666666666666,20
2024-05-10T21:00:00Z,GLONASS,142,47,34.6,40
2024-05-10T21:00:00Z,Galileo,27,9,8.8,9
2024-05-10T21:00:00Z,BeiDou,53,17,16.283333333333335,17
2024-05-10T21:00:00Z,NavIC,7,3,3.0,3
2024-05-10T21:00:00Z,QZSS,4,0,0.0,0
2024-05-10T21:00:00Z,Iridium,109,17,1.9166666666666667,4
2024-05-10T21:00:00Z,Globalstar,85,25,5.083333333333333,8
2024-05-10T21:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T21:00:00Z,Starlink,5917,1247,121.86666666666666,139
2024-05-10T21:00:00Z,OneWeb,634,131,21.666666666666668,26
2024-05-10T22:00:00Z,GPS,75,20,14.316666666666666,16
2024-05-10T22:00:00Z,GLONASS,142,53,43.85,47
2024-05-10T22:00:00Z,Galileo,27,10,8.9,9
2024-05-10T22:00:00Z,BeiDou,53,20,16.3,17
2024-05-10T22:00:00Z,NavIC,7,3,3.0,3
2024-05-10T22:00:00Z,QZSS,4,0,0.0,0
2024-05-10T22:00:00Z,Iridium,109,20,2.65,6
2024-05-10T22:00:00Z,Globalstar,85,29,5.733333333333333,10
2024-05-10T22:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T22:00:00Z,Starlink,5917,1206,119.6,128
2024-05-10T22:00:00Z,OneWeb,634,128,21.366666666666667,25
