satellite,norad_id,window,set_epoch,lead_h,t,radial_km,in_track_km,cross_km,altitude_km,speed_km_s
A,39452,quiet,2024-04-20T14:16:04.793952Z,6.0,2024-04-20T20:16:04.793952Z,-0.0889748439353881,-0.03265599372519515,-0.18180951525515815,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,12.0,2024-04-21T02:16:04.793952Z,-0.07688146620246018,1.790945961703477,0.17809962995561662,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,24.0,2024-04-21T14:16:04.793952Z,-0.06860026321519257,2.0746580958118503,-0.1839575860046495,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,36.0,2024-04-22T02:16:04.793952Z,0.26263859611618773,4.084981192966577,0.12294153522395326,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,48.0,2024-04-22T14:16:04.793952Z,-0.18457555996090275,5.606159626640842,0.1831657132743345,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,72.0,2024-04-23T14:16:04.793952Z,0.46120710036641366,7.880598525014271,0.09384131794090877,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,96.0,2024-04-24T14:16:04.793952Z,0.08310657630200621,8.038582821305972,-0.44304042067276983,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,120.0,2024-04-25T14:16:04.793952Z,-0.6912514949733668,10.597113645157025,-0.01564677160929029,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,144.0,2024-04-26T14:16:04.793952Z,0.6043405461264625,11.011913149441316,0.439701599586809,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T14:16:04.793952Z,168.0,2024-04-27T14:16:04.793952Z,0.5250637447559228,6.434631853172341,-0.33096078995388045,468.2827563413193,7.6302245995214095
A,39452,quiet,2024-04-20T18:58:21.581184Z,6.0,2024-04-21T00:58:21.581184Z,0.07971960451052552,1.361899676746316,-0.08808211707305888,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,12.0,2024-04-21T06:58:21.581184Z,-0.0048865260521790965,-0.3821610091716495,-0.15420389464437664,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,24.0,2024-04-21T18:58:21.581184Z,-0.04206686173974546,0.4455174847293823,0.1228188058658681,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,36.0,2024-04-22T06:58:21.581184Z,-0.046689241291634556,1.8457636627991558,0.19267203324662238,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,48.0,2024-04-22T18:58:21.581184Z,-0.1122064412660711,3.013436401614047,0.09737643418626885,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,72.0,2024-04-23T18:58:21.581184Z,0.19905981510638845,4.886505449436192,-0.06876937681678041,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,96.0,2024-04-24T18:58:21.581184Z,0.020431150738949914,4.9468365836815185,-0.14641203303763595,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,120.0,2024-04-25T18:58:21.581184Z,-0.601476564937171,6.66524996670793,0.032648339230843204,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,144.0,2024-04-26T18:58:21.581184Z,0.3661329675202114,6.519702702218929,0.1524466903184507,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T18:58:21.581184Z,168.0,2024-04-27T18:58:21.581184Z,0.4027694366513051,2.075501741802218,-0.0720211845897143,468.2634167355318,7.630235376383895
A,39452,quiet,2024-04-20T20:32:27.183552Z,6.0,2024-04-21T02:32:27.183552Z,0.05344829519893153,1.061100869140759,0.24411740411436242,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,12.0,2024-04-21T08:32:27.183552Z,-0.01568783632262689,0.16367381488910915,-0.20200979836621363,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,24.0,2024-04-21T20:32:27.183552Z,-0.034917380886169386,1.1089139325662747,0.20028553067095928,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,36.0,2024-04-22T08:32:27.183552Z,-0.006956691463631502,2.8075499349180038,0.060517812832492496,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,48.0,2024-04-22T20:32:27.183552Z,-0.22727956690574738,4.5358416850873455,-0.009536004027787648,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,72.0,2024-04-23T20:32:27.183552Z,0.2163692875404878,7.4779112248786035,-0.021678138902861077,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,96.0,2024-04-24T20:32:27.183552Z,0.06847537909249216,8.443563530373734,0.020178927716143047,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,120.0,2024-04-25T20:32:27.183552Z,-0.6957225862777043,11.63739033991189,-0.07880922392321765,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,144.0,2024-04-26T20:32:27.183552Z,0.3474817159649617,13.532171515628544,0.14838851537162334,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-20T20:32:27.183552Z,168.0,2024-04-27T20:32:27.183552Z,0.45363755006470796,10.977306422670974,0.11013750583620929,468.2596475073815,7.630237476765708
A,39452,quiet,2024-04-21T13:47:28.249728Z,6.0,2024-04-21T19:47:28.249728Z,-0.0626631219633036,-0.796467440837409,-0.19023285300061185,468.19092955417,7.630275769774136
A,39452,quiet,2024-04-21T13:47:28.249728Z,12.0,2024-04-22T01:47:28.249728Z,-0.06579071926724632,0.9612097790429539,0.15999976516203254,468.19092955417,7.630275769774136
