hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-04-20T07:00:00Z,Globalstar,85,29,6.433333333333334,11
2024-04-20T07:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T07:00:00Z,Starlink,5819,1225,121.38333333333334,134
2024-04-20T07:00:00Z,OneWeb,634,126,20.316666666666666,24
2024-04-20T08:00:00Z,GPS,75,23,18.866666666666667,21
2024-04-20T08:00:00Z,GLONASS,143,60,49.333333333333336,54
2024-04-20T08:00:00Z,Galileo,28,9,7.4,8
2024-04-20T08:00:00Z,BeiDou,54,22,18.316666666666666,20
2024-04-20T08:00:00Z,NavIC,9,5,5.0,5
2024-04-20T08:00:00Z,QZSS,5,0,0.0,0
2024-04-20T08:00:00Z,Iridium,109,17,2.066666666666667,3
2024-04-20T08:00:00Z,Globalstar,85,29,6.483333333333333,10
2024-04-20T08:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T08:00:00Z,Starlink,5819,1221,120.66666666666667,143
2024-04-20T08:00:00Z,OneWeb,634,141,22.35,25
2024-04-20T09:00:00Z,GPS,75,24,20.3,22
2024-04-20T09:00:00Z,GLONASS,143,63,46.733333333333334,51
2024-04-20T09:00:00Z,Galileo,28,8,6.733333333333333,7
2024-04-20T09:00:00Z,BeiDou,54,21,18.666666666666668,20
2024-04-20T09:00:00Z,NavIC,9,5,5.0,5
2024-04-20T09:00:00Z,QZSS,5,0,0.0,0
2024-04-20T09:00:00Z,Iridium,109,19,2.183333333333333,5
2024-04-20T09:00:00Z,Globalstar,85,32,7.216666666666667,10
2024-04-20T09:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T09:00:00Z,Starlink,5819,1157,113.95,128
2024-04-20T09:00:00Z,OneWeb,634,140,23.5,28
2024-04-20T10:00:00Z,GPS,75,26,20.35,23
2024-04-20T10:00:00Z,GLONASS,143,56,47.9,51
2024-04-20T10:00:00Z,Galileo,28,10,6.533333333333333,8
2024-04-20T10:00:00Z,BeiDou,54,20,16.566666666666666,19
2024-04-20T10:00:00Z,NavIC,9,5,5.0,5
